month,day_of_month,hour,outdoor_temperature,outdoor_humidity,wind_speed,wind_direction,diffuse_solar_radiation,direct_solar_radiation,air_temperature,air_humidity,people_occupant,htg_setpoint,clg_setpoint,co2_emission,HVAC_electricity_demand_rate,total_electricity_HVAC
2.0,14.0,8.0,-3.0013442039489746,36.29526519775391,5.699999809265137,300.0,85.0,442.0,20.466629028320312,31.50532531738281,0.0,21.0,23.25,0.0,13439.2568359375,49367588.0
2.0,14.0,9.0,-2.042356252670288,34.39659118652344,6.199999809265137,310.0,127.0,348.0,20.998754501342773,29.99393653869629,0.0,21.0,23.25,0.0,8183.26611328125,29481920.0
2.0,14.0,10.0,-0.9747676253318788,33.00065612792969,5.199999809265137,320.0,200.0,296.0,20.233762741088867,30.724313735961918,0.0,14.0,28.0,0.0,889.6678466796875,3244222.25
2.0,14.0,11.0,-0.3752959668636322,28.616905212402344,5.199999809265137,300.0,175.0,605.0,20.03264045715332,30.086261749267575,0.0,15.0,27.0,0.0,702.3889770507812,2592405.75
2.0,14.0,12.0,-0.0097451154142618,30.3059024810791,5.199999809265137,310.0,183.0,526.0,20.0,29.19915771484375,0.0,20.0,23.25,0.0,1449.0213623046875,5707210.5
2.0,14.0,13.0,1.0781033039093018,26.559062957763672,5.699999809265137,300.0,78.0,828.0,20.001785278320312,28.444154739379883,0.0,14.0,28.0,0.0,288.8187866210937,1027437.0
2.0,14.0,14.0,1.1677998304367063,25.89673614501953,5.199999809265137,290.0,56.0,887.0,20.069896697998047,27.654027938842773,0.0,12.0,30.0,0.0,293.0906677246094,1042757.125
2.0,14.0,15.0,1.049779176712036,25.61937141418457,4.099999904632568,270.0,44.0,792.0,20.23069190979004,26.873336791992188,0.0,14.0,28.0,0.0,342.3979187011719,1215404.375
2.0,14.0,16.0,0.2719933688640594,30.39105796813965,5.199999809265137,270.0,29.0,574.0,20.394405364990234,25.883628845214844,0.0,13.0,29.0,0.0,509.2062072753906,1819094.625
2.0,14.0,17.0,-1.4253721237182615,45.26639175415039,5.699999809265137,260.0,0.0,0.0,20.411813735961918,25.15396499633789,0.0,14.0,28.0,0.0,831.3936157226562,2996200.25
2.0,14.0,18.0,-1.6352916955947876,44.4339485168457,4.599999904632568,270.0,0.0,0.0,20.32692146301269,24.905548095703125,0.0,15.0,27.0,0.0,859.9476928710938,3103681.5
2.0,14.0,19.0,-1.6757800579071045,45.27888488769531,4.599999904632568,240.0,0.0,0.0,20.141984939575195,24.795808792114254,0.0,12.0,30.0,0.0,853.3526611328125,3083883.5
2.0,14.0,20.0,-2.475554943084717,53.874656677246094,3.0999999046325684,360.0,0.0,0.0,19.935901641845703,25.02328872680664,0.0,13.0,29.0,0.0,994.7575073242188,3594379.75
2.0,14.0,21.0,-3.118920087814331,35.78617477416992,3.0999999046325684,30.0,0.0,0.0,19.68708038330078,25.07355117797852,0.0,15.0,27.0,0.0,1109.931884765625,4006985.25
2.0,14.0,22.0,-4.076192855834961,40.15669631958008,3.0999999046325684,40.0,0.0,0.0,19.420000076293945,25.22285270690918,0.0,12.0,30.0,0.0,1410.198486328125,4924201.0
2.0,14.0,23.0,-4.238812446594238,38.45106506347656,2.5999999046325684,50.0,0.0,0.0,20.632848739624023,23.118762969970703,0.0,21.0,23.25,0.0,17801.78515625,64401836.0
2.0,15.0,0.0,-4.722012996673584,48.71744537353516,3.5999999046325684,60.0,0.0,0.0,19.734079360961918,24.09451484680176,0.0,12.0,30.0,0.0,1635.2684326171875,5841072.5
2.0,15.0,1.0,-6.36837100982666,59.0078239440918,3.0999999046325684,80.0,0.0,0.0,19.4145450592041,24.401683807373047,0.0,13.0,29.0,0.0,2036.3043212890625,7260877.0
2.0,15.0,2.0,-5.726553440093994,52.08020782470703,3.0999999046325684,60.0,0.0,0.0,19.12457656860352,24.627803802490234,0.0,14.0,28.0,0.0,1978.175048828125,7014622.5
2.0,15.0,3.0,-6.859841823577881,64.3636245727539,2.5999999046325684,60.0,0.0,0.0,18.85504150390625,24.871782302856445,0.0,12.0,30.0,0.0,2271.5439453125,8051312.0
2.0,15.0,4.0,-7.039719104766846,71.30987548828125,3.0999999046325684,70.0,0.0,0.0,18.601436614990234,24.918981552124023,0.0,18.0,24.0,0.0,9733.0625,36535004.0
2.0,15.0,5.0,-7.1528801918029785,72.32381439208984,3.0999999046325684,80.0,0.0,0.0,18.999982833862305,24.10682678222656,0.0,19.0,23.25,0.0,11604.0048828125,42533760.0
2.0,15.0,6.0,-5.1859540939331055,68.8975601196289,3.5999999046325684,70.0,0.0,0.0,19.99995231628418,22.303760528564453,0.0,20.0,23.25,0.0,13106.5107421875,48302444.0
2.0,15.0,7.0,-4.254680633544922,65.21601867675781,3.5999999046325684,80.0,52.0,34.0,19.21699523925781,23.144615173339844,0.0,18.0,24.0,0.0,2077.319091796875,7401479.5
2.0,15.0,8.0,-1.944287061691284,60.19915008544922,3.5999999046325684,90.0,128.0,104.0,20.463573455810547,21.29330825805664,0.0,21.0,23.25,0.0,13651.9345703125,50496644.0
2.0,15.0,9.0,-0.0258540827780962,62.573768615722656,2.5999999046325684,110.0,195.0,59.0,19.69414520263672,22.35280990600586,0.0,13.0,29.0,0.0,931.376220703125,3383109.5
2.0,15.0,10.0,1.861207365989685,57.23673248291016,6.199999809265137,160.0,186.0,0.0,19.43973159790039,22.486391067504883,0.0,17.0,25.0,0.0,503.9276428222656,1869035.375
2.0,15.0,11.0,3.0343289375305176,63.36016082763672,6.199999809265137,170.0,212.0,0.0,19.305816650390625,22.660165786743164,0.0,13.0,29.0,0.0,478.5308227539063,1722711.0
2.0,15.0,12.0,3.336720466613769,67.95586395263672,5.699999809265137,170.0,172.0,0.0,19.218944549560547,22.792593002319336,0.0,12.0,30.0,0.0,431.9693298339844,1555089.625
2.0,15.0,13.0,2.044964075088501,89.02945709228516,4.099999904632568,210.0,157.0,0.0,20.000009536743164,21.88970947265625,0.0,20.0,23.25,0.0,7049.529296875,26835798.0
2.0,15.0,14.0,1.983259201049805,90.08533477783205,3.5999999046325684,190.0,126.0,0.0,19.549049377441406,22.554059982299805,0.0,12.0,30.0,0.0,305.1380920410156,1132611.5
2.0,15.0,15.0,2.129424333572388,94.22248077392578,3.0999999046325684,180.0,81.0,0.0,19.429838180541992,22.80023956298828,0.0,19.0,23.25,0.0,1471.51171875,5540183.5
2.0,15.0,16.0,1.846770405769348,98.6891632080078,3.0999999046325684,150.0,23.0,0.0,19.33072662353516,23.055946350097656,0.0,13.0,29.0,0.0,313.60211181640625,1131130.375
2.0,15.0,17.0,2.3317384719848637,97.38662719726562,2.0999999046325684,130.0,0.0,0.0,19.2313175201416,23.24057388305664,0.0,17.0,25.0,0.0,299.450439453125,1047070.25
2.0,15.0,18.0,2.904583215713501,100.0,2.5999999046325684,60.0,0.0,0.0,20.56733512878418,21.586973190307617,0.0,21.0,23.25,0.0,16957.6796875,61073764.0
2.0,15.0,19.0,3.753209829330444,97.4810028076172,3.0999999046325684,70.0,0.0,0.0,20.999099731445312,21.096418380737305,0.0,21.0,23.25,0.0,8336.728515625,29417008.0
2.0,15.0,20.0,4.302295207977295,100.0,3.5999999046325684,40.0,0.0,0.0,20.19120407104492,22.48747444152832,0.0,12.0,30.0,0.0,239.62808227539065,862055.125
2.0,15.0,21.0,4.130940437316895,98.46993255615234,3.5999999046325684,10.0,0.0,0.0,19.881467819213867,23.067670822143555,0.0,16.0,26.0,0.0,248.73731994628903,871953.1875
2.0,15.0,22.0,3.615803241729736,100.0,3.0999999046325684,300.0,0.0,0.0,19.62835502624512,23.54228973388672,0.0,17.0,25.0,0.0,258.8683776855469,912300.3125
2.0,15.0,23.0,3.038843870162964,94.45832824707033,4.599999904632568,270.0,0.0,0.0,19.386310577392575,24.16018295288086,0.0,12.0,30.0,0.0,282.1206970214844,979496.625
2.0,16.0,0.0,3.133573055267334,94.17774963378906,4.599999904632568,240.0,0.0,0.0,19.01889991760254,24.978731155395508,0.0,17.0,25.0,0.0,309.128173828125,1068700.125
2.0,16.0,1.0,2.2838690280914307,89.0044174194336,6.699999809265137,250.0,0.0,0.0,18.702354431152344,25.662471771240234,0.0,17.0,25.0,0.0,868.5956420898438,2771918.75
2.0,16.0,2.0,2.952493906021118,86.01388549804688,4.599999904632568,250.0,0.0,0.0,18.51759910583496,26.0855770111084,0.0,12.0,30.0,0.0,353.2934265136719,1271856.375
2.0,16.0,3.0,2.60660171508789,92.93223571777344,5.199999809265137,250.0,0.0,0.0,18.34094619750977,26.55622100830078,0.0,12.0,30.0,0.0,386.99517822265625,1393182.625
2.0,16.0,4.0,3.060525417327881,88.52865600585938,4.099999904632568,270.0,0.0,0.0,18.20342445373535,26.957420349121094,0.0,15.0,27.0,0.0,423.0587463378906,1523011.5
2.0,16.0,5.0,2.301920175552368,95.30167388916016,4.099999904632568,250.0,0.0,0.0,18.07571792602539,27.335548400878903,0.0,13.0,29.0,0.0,459.3576354980469,1653687.5
2.0,16.0,6.0,1.7624694108963013,93.14227294921876,3.5999999046325684,250.0,0.0,0.0,17.999996185302734,28.005693435668945,0.0,18.0,24.0,0.0,9172.4775390625,34522300.0
2.0,16.0,7.0,2.625026226043701,93.84535217285156,4.099999904632568,280.0,43.0,95.0,18.999774932861328,26.83686637878418,0.0,19.0,23.25,0.0,9129.41796875,33793248.0
2.0,16.0,8.0,4.113627433776856,86.9163589477539,5.699999809265137,270.0,71.0,60.0,20.68260955810547,32.055946350097656,20.0,12.0,30.0,0.0,1032.4068603515625,3766861.75
2.0,16.0,9.0,6.478049278259277,81.07575225830078,5.699999809265137,280.0,126.0,259.0,22.567991256713867,34.09841537475586,20.0,12.0,30.0,0.0,794.8023681640625,2917869.25
2.0,16.0,10.0,9.05576515197754,66.5244369506836,4.599999904632568,300.0,179.0,430.0,23.249500274658203,36.35126876831055,20.0,19.0,23.25,0.0,86.14790344238281,310132.4375
2.0,16.0,11.0,9.666370391845703,57.98954391479492,7.199999809265137,310.0,270.0,198.0,23.249366760253903,33.907920837402344,16.0,20.0,23.25,0.0,148.06838989257812,531931.625
2.0,16.0,12.0,9.712077140808104,54.15649032592773,7.699999809265137,300.0,144.0,130.0,23.249731063842773,31.9781551361084,8.0,19.0,23.25,0.0,754.8421020507812,3264960.5
2.0,16.0,13.0,8.666885375976562,50.499813079833984,6.199999809265137,310.0,264.0,81.0,25.83552360534668,33.19100570678711,16.0,13.0,29.0,0.0,142.84976196289062,574128.4375
2.0,16.0,14.0,8.361222267150879,47.04556274414063,5.699999809265137,350.0,148.0,0.0,24.999191284179688,32.9244270324707,20.0,17.0,25.0,0.0,124.78314208984376,894599.25
2.0,16.0,15.0,8.040058135986328,47.32405471801758,4.599999904632568,340.0,94.0,0.0,23.24903106689453,31.597749710083008,20.0,20.0,23.25,0.0,1020.8882446289062,3561774.75
2.0,16.0,16.0,7.669586181640625,43.11685943603516,4.599999904632568,330.0,50.0,0.0,23.24867820739746,30.36482048034668,20.0,20.0,23.25,0.0,397.9122619628906,1432484.125
2.0,16.0,17.0,7.837455749511719,42.53432083129883,6.199999809265137,350.0,0.0,0.0,24.886150360107425,34.311126708984375,20.0,13.0,29.0,0.0,86.14790344238281,310132.4375
