Actual (kWh),Predicted (kWh),Error (kWh)
109.5,114.50391,-5.00390625
112.8,113.00687,-0.20686645507812784
116.2,113.22318,2.9768173217773466
119.0,115.363525,3.636474609375
118.3,116.25949,2.040509033203122
117.2,115.62077,1.5792266845703153
117.4,113.91909,3.480909729003912
117.5,112.1458,5.3542022705078125
119.1,109.34053,9.759469604492182
117.0,106.31503,10.684967041015625
117.0,105.22413,11.775871276855469
115.8,104.3948,11.405201721191403
113.8,104.47561,9.324391174316403
112.3,103.0953,9.204701232910153
111.0,102.85638,8.143623352050781
111.5,102.97836,8.521636962890625
112.2,104.23099,7.969012451171878
113.4,105.117386,8.282614135742193
114.0,107.2921,6.7079010009765625
114.0,108.792915,5.207084655761719
114.0,111.0814,2.9186019897460938
113.1,114.07947,-0.9794677734375057
114.0,115.65608,-1.6560821533203125
117.2,116.96897,0.2310287475585966
129.0,121.65671,7.343292236328125
132.1,134.56258,-2.462576293945318
135.9,132.57481,3.325186157226568
139.5,130.6697,8.830307006835938
139.8,127.87337,11.926632690429699
136.5,127.571205,8.928794860839844
134.0,128.28784,5.712158203125
134.2,128.62602,5.573977661132801
134.0,128.48456,5.51544189453125
131.0,127.62682,3.3731765747070312
129.4,126.48508,2.9149230957031307
140.3,126.68617,13.613827514648449
143.9,131.04192,12.858084106445318
143.0,136.25334,6.7466583251953125
141.5,137.55376,3.9462432861328125
142.4,137.7505,4.649496459960943
133.1,135.81491,-2.7149108886718807
135.2,131.60182,3.598178100585926
129.9,130.21478,-0.3147827148437443
132.1,124.08594,8.014062499999994
137.6,123.90594,13.694062805175776
138.6,126.571556,12.0284439086914
135.0,128.42493,6.5750732421875
124.9,127.313576,-2.4135757446289006
115.6,123.029335,-7.429335021972662
117.8,119.68318,-1.8831817626953153
120.6,120.410225,0.18977508544921307
119.9,121.862144,-1.962144470214838
121.6,121.04867,0.5513320922851506
122.6,121.93446,0.6655364990234318
122.2,122.16998,0.030017089843752842
125.4,121.65342,3.7465805053710994
125.8,122.23172,3.568280029296872
123.0,122.16671,0.8332901000976562
121.0,120.64389,0.356109619140625
119.5,118.68709,0.8129119873046875
117.0,116.86289,0.13710784912109375
115.2,115.25253,-0.05253295898437216
114.0,112.809296,1.190704345703125
112.1,111.791176,0.30882415771483807
114.1,111.12753,2.9724670410156193
116.4,112.013405,4.386595153808599
115.7,113.55856,2.141436767578128
114.0,113.41371,0.5862884521484375
113.8,112.392136,1.4078643798828097
112.0,111.6635,0.3365020751953125
114.6,111.77617,2.823831176757807
121.4,114.77659,6.623411560058599
137.4,123.910706,13.489294433593756
138.2,137.4126,0.7874023437499886
140.3,136.43542,3.8645751953125114
136.6,134.55405,2.0459533691406193
136.2,130.6626,5.537402343749989
138.6,128.66951,9.930490112304682
138.3,130.01733,8.282666015625011
239.5,130.59789,108.90211486816406
157.8,179.35316,-21.55316467285155
141.3,152.54037,-11.240374755859364
122.8,137.34726,-14.547259521484378
138.7,129.27396,9.426043701171864
241.9,133.29596,108.60404052734376
191.2,185.68306,5.516940307617176
158.7,176.94711,-18.247113037109386
130.0,158.67097,-28.670974731445312
177.8,142.62088,35.179119873046886
128.4,122.858955,5.541044616699224
120.6,129.11766,-8.517660522460943
119.9,123.08293,-3.182931518554682
123.2,124.61861,-1.4186065673828097
123.3,127.91253,-4.612528991699222
134.8,129.86076,4.939236450195324
122.2,132.7848,-10.58480529785156
121.4,128.01811,-6.618112182617182
123.8,123.10092,0.6990783691406222
125.2,123.57321,1.6267883300781278
124.0,124.30254,-0.30254364013671875
124.8,124.08252,0.7174804687499972
124.2,123.68551,0.5144912719726591
121.6,122.49084,-0.8908370971679744
120.0,120.4972,-0.49720001220703125
